variable_name,algorithm,fold,variable_importance
CHELSA_bio_03,CTA,RUN2,0.311
CHELSA_bio_05,CTA,RUN2,0
CHELSA_bio_06,CTA,RUN2,0.025
CHELSA_bio_08,CTA,RUN2,0.44
CHELSA_bio_09,CTA,RUN2,0
CHELSA_bio_13,CTA,RUN2,0.062
CHELSA_bio_14,CTA,RUN2,0.387
CHELSA_bio_15,CTA,RUN2,0
CHELSA_bio_03,MARS,RUN2,0.083
CHELSA_bio_05,MARS,RUN2,0.021
CHELSA_bio_06,MARS,RUN2,0
CHELSA_bio_08,MARS,RUN2,0.741
CHELSA_bio_09,MARS,RUN2,0.055
CHELSA_bio_13,MARS,RUN2,0
CHELSA_bio_14,MARS,RUN2,0.26
CHELSA_bio_15,MARS,RUN2,0.107
CHELSA_bio_03,GLM,RUN3,0.069
CHELSA_bio_05,GLM,RUN3,0
CHELSA_bio_06,GLM,RUN3,0
CHELSA_bio_08,GLM,RUN3,0.601
CHELSA_bio_09,GLM,RUN3,0
CHELSA_bio_13,GLM,RUN3,0.07
CHELSA_bio_14,GLM,RUN3,0.275
CHELSA_bio_15,GLM,RUN3,0
CHELSA_bio_03,GBM,RUN3,0.046
CHELSA_bio_05,GBM,RUN3,0.001
CHELSA_bio_06,GBM,RUN3,0.001
CHELSA_bio_08,GBM,RUN3,0.438
CHELSA_bio_09,GBM,RUN3,0.004
CHELSA_bio_13,GBM,RUN3,0.204
CHELSA_bio_14,GBM,RUN3,0.17
CHELSA_bio_15,GBM,RUN3,0.014
CHELSA_bio_03,GAM,RUN3,0.419
CHELSA_bio_05,GAM,RUN3,0.394
CHELSA_bio_06,GAM,RUN3,0.825
CHELSA_bio_08,GAM,RUN3,0.361
CHELSA_bio_09,GAM,RUN3,0.401
CHELSA_bio_13,GAM,RUN3,1
CHELSA_bio_14,GAM,RUN3,0.152
CHELSA_bio_15,GAM,RUN3,0.567
CHELSA_bio_03,RF,RUN3,0.017
CHELSA_bio_05,RF,RUN3,0.013
CHELSA_bio_06,RF,RUN3,0.011
CHELSA_bio_08,RF,RUN3,0.113
CHELSA_bio_09,RF,RUN3,0.028
CHELSA_bio_13,RF,RUN3,0.073
CHELSA_bio_14,RF,RUN3,0.071
CHELSA_bio_15,RF,RUN3,0.016
CHELSA_bio_03,ANN,RUN3,0.123
CHELSA_bio_05,ANN,RUN3,0.232
CHELSA_bio_06,ANN,RUN3,0.437
CHELSA_bio_08,ANN,RUN3,0.656
CHELSA_bio_09,ANN,RUN3,0.064
CHELSA_bio_13,ANN,RUN3,0.631
CHELSA_bio_14,ANN,RUN3,0.206
CHELSA_bio_15,ANN,RUN3,0.191
CHELSA_bio_03,MAXENT.Phillips,RUN3,0.236
CHELSA_bio_05,MAXENT.Phillips,RUN3,0.17
CHELSA_bio_06,MAXENT.Phillips,RUN3,0.032
CHELSA_bio_08,MAXENT.Phillips,RUN3,0.438
CHELSA_bio_09,MAXENT.Phillips,RUN3,0.104
CHELSA_bio_13,MAXENT.Phillips,RUN3,0.796
CHELSA_bio_14,MAXENT.Phillips,RUN3,0.233
CHELSA_bio_15,MAXENT.Phillips,RUN3,0.144
CHELSA_bio_03,CTA,RUN3,0.195
CHELSA_bio_05,CTA,RUN3,0
CHELSA_bio_06,CTA,RUN3,0
CHELSA_bio_08,CTA,RUN3,0.591
CHELSA_bio_09,CTA,RUN3,0
CHELSA_bio_13,CTA,RUN3,0
CHELSA_bio_14,CTA,RUN3,0.389
CHELSA_bio_15,CTA,RUN3,0.082
CHELSA_bio_03,MARS,RUN3,0.06
CHELSA_bio_05,MARS,RUN3,0.069
CHELSA_bio_06,MARS,RUN3,0.112
CHELSA_bio_08,MARS,RUN3,0.685
CHELSA_bio_09,MARS,RUN3,0.064
CHELSA_bio_13,MARS,RUN3,0
CHELSA_bio_14,MARS,RUN3,0.171
CHELSA_bio_15,MARS,RUN3,0.077
CHELSA_bio_03,GLM,RUN4,0.074
CHELSA_bio_05,GLM,RUN4,0
CHELSA_bio_06,GLM,RUN4,0
CHELSA_bio_08,GLM,RUN4,0.518
CHELSA_bio_09,GLM,RUN4,0
CHELSA_bio_13,GLM,RUN4,0.058
CHELSA_bio_14,GLM,RUN4,0.369
CHELSA_bio_15,GLM,RUN4,0
CHELSA_bio_03,GBM,RUN4,0.144
CHELSA_bio_05,GBM,RUN4,0.001
CHELSA_bio_06,GBM,RUN4,0.001
CHELSA_bio_08,GBM,RUN4,0.236
CHELSA_bio_09,GBM,RUN4,0.016
CHELSA_bio_13,GBM,RUN4,0.217
CHELSA_bio_14,GBM,RUN4,0.276
CHELSA_bio_15,GBM,RUN4,0.015
CHELSA_bio_03,GAM,RUN4,0.524
CHELSA_bio_05,GAM,RUN4,0.54
CHELSA_bio_06,GAM,RUN4,0.866
CHELSA_bio_08,GAM,RUN4,0.703
CHELSA_bio_09,GAM,RUN4,0.249
CHELSA_bio_13,GAM,RUN4,0.992
CHELSA_bio_14,GAM,RUN4,0.268
CHELSA_bio_15,GAM,RUN4,0.542
CHELSA_bio_03,RF,RUN4,0.067
CHELSA_bio_05,RF,RUN4,0.02
CHELSA_bio_06,RF,RUN4,0.009
CHELSA_bio_08,RF,RUN4,0.1
CHELSA_bio_09,RF,RUN4,0.015
CHELSA_bio_13,RF,RUN4,0.114
CHELSA_bio_14,RF,RUN4,0.104
CHELSA_bio_15,RF,RUN4,0.029
CHELSA_bio_03,ANN,RUN4,0.201
CHELSA_bio_05,ANN,RUN4,0.133
CHELSA_bio_06,ANN,RUN4,0.275
CHELSA_bio_08,ANN,RUN4,0.505
CHELSA_bio_09,ANN,RUN4,0.122
CHELSA_bio_13,ANN,RUN4,0.471
CHELSA_bio_14,ANN,RUN4,0.631
CHELSA_bio_15,ANN,RUN4,0.301
CHELSA_bio_03,MAXENT.Phillips,RUN4,0.378
CHELSA_bio_05,MAXENT.Phillips,RUN4,0.291
CHELSA_bio_06,MAXENT.Phillips,RUN4,0.367
CHELSA_bio_08,MAXENT.Phillips,RUN4,0.449
CHELSA_bio_09,MAXENT.Phillips,RUN4,0.139
CHELSA_bio_13,MAXENT.Phillips,RUN4,0.586
CHELSA_bio_14,MAXENT.Phillips,RUN4,0.536
CHELSA_bio_15,MAXENT.Phillips,RUN4,0.227
CHELSA_bio_03,CTA,RUN4,0.43
CHELSA_bio_05,CTA,RUN4,0.012
CHELSA_bio_06,CTA,RUN4,0
CHELSA_bio_08,CTA,RUN4,0.211
CHELSA_bio_09,CTA,RUN4,0.099
CHELSA_bio_13,CTA,RUN4,0
CHELSA_bio_14,CTA,RUN4,0.802
CHELSA_bio_15,CTA,RUN4,0
CHELSA_bio_03,MARS,RUN4,0.041
CHELSA_bio_05,MARS,RUN4,0.02
CHELSA_bio_06,MARS,RUN4,0
CHELSA_bio_08,MARS,RUN4,0.584
CHELSA_bio_09,MARS,RUN4,0
CHELSA_bio_13,MARS,RUN4,0
CHELSA_bio_14,MARS,RUN4,0.421
CHELSA_bio_15,MARS,RUN4,0.085
CHELSA_bio_03,GLM,RUN5,0.263
CHELSA_bio_05,GLM,RUN5,0.345
CHELSA_bio_06,GLM,RUN5,0.757
CHELSA_bio_08,GLM,RUN5,0.741
CHELSA_bio_09,GLM,RUN5,0
CHELSA_bio_13,GLM,RUN5,0.085
CHELSA_bio_14,GLM,RUN5,0.304
CHELSA_bio_15,GLM,RUN5,0
CHELSA_bio_03,GBM,RUN5,0.076
CHELSA_bio_05,GBM,RUN5,0
CHELSA_bio_06,GBM,RUN5,0.002
CHELSA_bio_08,GBM,RUN5,0.363
CHELSA_bio_09,GBM,RUN5,0.001
CHELSA_bio_13,GBM,RUN5,0.351
CHELSA_bio_14,GBM,RUN5,0.147
CHELSA_bio_15,GBM,RUN5,0.017
CHELSA_bio_03,GAM,RUN5,0.228
CHELSA_bio_05,GAM,RUN5,0.325
CHELSA_bio_06,GAM,RUN5,0.544
CHELSA_bio_08,GAM,RUN5,0.496
CHELSA_bio_09,GAM,RUN5,0.01
CHELSA_bio_13,GAM,RUN5,1
CHELSA_bio_14,GAM,RUN5,0.185
CHELSA_bio_15,GAM,RUN5,0.523
CHELSA_bio_03,RF,RUN5,0.036
CHELSA_bio_05,RF,RUN5,0.017
CHELSA_bio_06,RF,RUN5,0.012
CHELSA_bio_08,RF,RUN5,0.127
CHELSA_bio_09,RF,RUN5,0.016
CHELSA_bio_13,RF,RUN5,0.097
CHELSA_bio_14,RF,RUN5,0.083
CHELSA_bio_15,RF,RUN5,0.019
CHELSA_bio_03,ANN,RUN5,0.143
CHELSA_bio_05,ANN,RUN5,0.227
CHELSA_bio_06,ANN,RUN5,0.418
CHELSA_bio_08,ANN,RUN5,0.512
CHELSA_bio_09,ANN,RUN5,0.066
CHELSA_bio_13,ANN,RUN5,1
CHELSA_bio_14,ANN,RUN5,0.186
CHELSA_bio_15,ANN,RUN5,0.517
CHELSA_bio_03,MAXENT.Phillips,RUN5,0.39
CHELSA_bio_05,MAXENT.Phillips,RUN5,0.241
CHELSA_bio_06,MAXENT.Phillips,RUN5,0.173
CHELSA_bio_08,MAXENT.Phillips,RUN5,0.419
CHELSA_bio_09,MAXENT.Phillips,RUN5,0.12
CHELSA_bio_13,MAXENT.Phillips,RUN5,0.703
CHELSA_bio_14,MAXENT.Phillips,RUN5,0.392
CHELSA_bio_15,MAXENT.Phillips,RUN5,0.107
CHELSA_bio_03,CTA,RUN5,0.173
CHELSA_bio_05,CTA,RUN5,0.344
