model,metric,value,taxon
Salamandra.atra.south_AllData_RUN4_MARS,TSS,0.991,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GLM,ROC,0.97,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GLM,TSS,0.864,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GBM,ROC,0.988,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GBM,TSS,0.958,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GAM,ROC,0.862,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GAM,TSS,0.724,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_RF,ROC,0.979,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_RF,TSS,0.937,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_ANN,ROC,0.955,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_ANN,TSS,0.724,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MAXENT.Phillips,ROC,0.87,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MAXENT.Phillips,TSS,0.739,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_CTA,ROC,0.872,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_CTA,TSS,0.734,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MARS,ROC,0.985,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_MARS,TSS,0.937,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,KAPPA,0.787,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,TSS,0.888,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN1_AllData,ROC,0.968,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN2_AllData,KAPPA,0.777,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN2_AllData,TSS,0.939,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN2_AllData,ROC,0.981,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN3_AllData,KAPPA,0.82,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN3_AllData,TSS,0.918,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN3_AllData,ROC,0.986,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN4_AllData,KAPPA,0.974,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN4_AllData,TSS,0.995,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN4_AllData,ROC,0.995,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,KAPPA,0.834,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,TSS,0.984,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,ROC,0.994,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GLM,boyce,0.068,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GBM,boyce,0.614,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GAM,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_RF,boyce,0.811,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_ANN,boyce,0.455,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_CTA,boyce,0.5,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MARS,boyce,0.689,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GLM,boyce,0.786,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GBM,boyce,0.544,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GAM,boyce,0.8,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_RF,boyce,0.535,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_ANN,boyce,0.708,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_CTA,boyce,0.306,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MARS,boyce,0.563,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GLM,boyce,0.751,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GBM,boyce,0.517,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GAM,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_RF,boyce,0.698,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_ANN,boyce,0.256,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_CTA,boyce,0.6,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MARS,boyce,0.394,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GLM,boyce,0.696,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GBM,boyce,0.588,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GAM,boyce,0.6,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_RF,boyce,0.116,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_ANN,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_CTA,boyce,0.632,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MARS,boyce,0.677,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GLM,boyce,0.324,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GBM,boyce,0.775,Salamandra_atra_south
