variable_name,algorithm,fold,variable_importance
CHELSA_bio_03,CTA,RUN2,0.455
CHELSA_bio_05,CTA,RUN2,0
CHELSA_bio_06,CTA,RUN2,0
CHELSA_bio_08,CTA,RUN2,0.089
CHELSA_bio_09,CTA,RUN2,0.718
CHELSA_bio_13,CTA,RUN2,0
CHELSA_bio_14,CTA,RUN2,0
CHELSA_bio_15,CTA,RUN2,0
CHELSA_bio_03,MARS,RUN2,0.146
CHELSA_bio_05,MARS,RUN2,0
CHELSA_bio_06,MARS,RUN2,0
CHELSA_bio_08,MARS,RUN2,0.169
CHELSA_bio_09,MARS,RUN2,0.518
CHELSA_bio_13,MARS,RUN2,0.139
CHELSA_bio_14,MARS,RUN2,0.222
CHELSA_bio_15,MARS,RUN2,0.062
CHELSA_bio_03,GLM,RUN3,0.041
CHELSA_bio_05,GLM,RUN3,0
CHELSA_bio_06,GLM,RUN3,0.016
CHELSA_bio_08,GLM,RUN3,0.05
CHELSA_bio_09,GLM,RUN3,0.917
CHELSA_bio_13,GLM,RUN3,0.621
CHELSA_bio_14,GLM,RUN3,0.221
CHELSA_bio_15,GLM,RUN3,0.205
CHELSA_bio_03,GBM,RUN3,0.282
CHELSA_bio_05,GBM,RUN3,0.007
CHELSA_bio_06,GBM,RUN3,0.01
CHELSA_bio_08,GBM,RUN3,0.147
CHELSA_bio_09,GBM,RUN3,0.648
CHELSA_bio_13,GBM,RUN3,0.002
CHELSA_bio_14,GBM,RUN3,0.004
CHELSA_bio_15,GBM,RUN3,0.006
CHELSA_bio_03,GAM,RUN3,0.33
CHELSA_bio_05,GAM,RUN3,0.115
CHELSA_bio_06,GAM,RUN3,0.349
CHELSA_bio_08,GAM,RUN3,0.175
CHELSA_bio_09,GAM,RUN3,0.323
CHELSA_bio_13,GAM,RUN3,0.506
CHELSA_bio_14,GAM,RUN3,0.264
CHELSA_bio_15,GAM,RUN3,0.169
CHELSA_bio_03,RF,RUN3,0.129
CHELSA_bio_05,RF,RUN3,0.05
CHELSA_bio_06,RF,RUN3,0.051
CHELSA_bio_08,RF,RUN3,0.085
CHELSA_bio_09,RF,RUN3,0.351
CHELSA_bio_13,RF,RUN3,0.02
CHELSA_bio_14,RF,RUN3,0.011
CHELSA_bio_15,RF,RUN3,0.021
CHELSA_bio_03,ANN,RUN3,0.226
CHELSA_bio_05,ANN,RUN3,0.705
CHELSA_bio_06,ANN,RUN3,0.714
CHELSA_bio_08,ANN,RUN3,0.07
CHELSA_bio_09,ANN,RUN3,0.527
CHELSA_bio_13,ANN,RUN3,0.546
CHELSA_bio_14,ANN,RUN3,0.235
CHELSA_bio_15,ANN,RUN3,0.256
CHELSA_bio_03,MAXENT.Phillips,RUN3,0.282
CHELSA_bio_05,MAXENT.Phillips,RUN3,0.045
CHELSA_bio_06,MAXENT.Phillips,RUN3,0.16
CHELSA_bio_08,MAXENT.Phillips,RUN3,0.219
CHELSA_bio_09,MAXENT.Phillips,RUN3,0.552
CHELSA_bio_13,MAXENT.Phillips,RUN3,0.214
CHELSA_bio_14,MAXENT.Phillips,RUN3,0.18
CHELSA_bio_15,MAXENT.Phillips,RUN3,0.156
CHELSA_bio_03,CTA,RUN3,0.297
CHELSA_bio_05,CTA,RUN3,0.031
CHELSA_bio_06,CTA,RUN3,0
CHELSA_bio_08,CTA,RUN3,0.27
CHELSA_bio_09,CTA,RUN3,0.736
CHELSA_bio_13,CTA,RUN3,0
CHELSA_bio_14,CTA,RUN3,0
CHELSA_bio_15,CTA,RUN3,0
CHELSA_bio_03,MARS,RUN3,0.192
CHELSA_bio_05,MARS,RUN3,0.029
CHELSA_bio_06,MARS,RUN3,0.194
CHELSA_bio_08,MARS,RUN3,0.335
CHELSA_bio_09,MARS,RUN3,0.549
CHELSA_bio_13,MARS,RUN3,0
CHELSA_bio_14,MARS,RUN3,0
CHELSA_bio_15,MARS,RUN3,0.042
CHELSA_bio_03,GLM,RUN4,0.025
CHELSA_bio_05,GLM,RUN4,0.239
CHELSA_bio_06,GLM,RUN4,0.147
CHELSA_bio_08,GLM,RUN4,0.031
CHELSA_bio_09,GLM,RUN4,1
CHELSA_bio_13,GLM,RUN4,0.733
CHELSA_bio_14,GLM,RUN4,0.269
CHELSA_bio_15,GLM,RUN4,0.227
CHELSA_bio_03,GBM,RUN4,0.218
CHELSA_bio_05,GBM,RUN4,0.011
CHELSA_bio_06,GBM,RUN4,0.001
CHELSA_bio_08,GBM,RUN4,0.125
CHELSA_bio_09,GBM,RUN4,0.61
CHELSA_bio_13,GBM,RUN4,0.019
CHELSA_bio_14,GBM,RUN4,0.006
CHELSA_bio_15,GBM,RUN4,0.006
CHELSA_bio_03,GAM,RUN4,0.23
CHELSA_bio_05,GAM,RUN4,0.421
CHELSA_bio_06,GAM,RUN4,0.107
CHELSA_bio_08,GAM,RUN4,0.085
CHELSA_bio_09,GAM,RUN4,0.458
CHELSA_bio_13,GAM,RUN4,0.574
CHELSA_bio_14,GAM,RUN4,0.305
CHELSA_bio_15,GAM,RUN4,0.223
CHELSA_bio_03,RF,RUN4,0.092
CHELSA_bio_05,RF,RUN4,0.047
CHELSA_bio_06,RF,RUN4,0.039
CHELSA_bio_08,RF,RUN4,0.086
CHELSA_bio_09,RF,RUN4,0.273
CHELSA_bio_13,RF,RUN4,0.027
CHELSA_bio_14,RF,RUN4,0.011
CHELSA_bio_15,RF,RUN4,0.026
CHELSA_bio_03,ANN,RUN4,0.205
CHELSA_bio_05,ANN,RUN4,0.416
CHELSA_bio_06,ANN,RUN4,0.066
CHELSA_bio_08,ANN,RUN4,0.367
CHELSA_bio_09,ANN,RUN4,0.62
CHELSA_bio_13,ANN,RUN4,0.373
CHELSA_bio_14,ANN,RUN4,0.161
CHELSA_bio_15,ANN,RUN4,0.225
CHELSA_bio_03,MAXENT.Phillips,RUN4,0.344
CHELSA_bio_05,MAXENT.Phillips,RUN4,0.224
CHELSA_bio_06,MAXENT.Phillips,RUN4,0.014
CHELSA_bio_08,MAXENT.Phillips,RUN4,0.228
CHELSA_bio_09,MAXENT.Phillips,RUN4,0.484
CHELSA_bio_13,MAXENT.Phillips,RUN4,0.269
CHELSA_bio_14,MAXENT.Phillips,RUN4,0.137
CHELSA_bio_15,MAXENT.Phillips,RUN4,0.072
CHELSA_bio_03,CTA,RUN4,0.334
CHELSA_bio_05,CTA,RUN4,0
CHELSA_bio_06,CTA,RUN4,0
CHELSA_bio_08,CTA,RUN4,0
CHELSA_bio_09,CTA,RUN4,0.872
CHELSA_bio_13,CTA,RUN4,0
CHELSA_bio_14,CTA,RUN4,0
CHELSA_bio_15,CTA,RUN4,0
CHELSA_bio_03,MARS,RUN4,0.123
CHELSA_bio_05,MARS,RUN4,0.047
CHELSA_bio_06,MARS,RUN4,0
CHELSA_bio_08,MARS,RUN4,0.268
CHELSA_bio_09,MARS,RUN4,0.472
CHELSA_bio_13,MARS,RUN4,0
CHELSA_bio_14,MARS,RUN4,0
CHELSA_bio_15,MARS,RUN4,0.063
CHELSA_bio_03,GLM,RUN5,0.05
CHELSA_bio_05,GLM,RUN5,0
CHELSA_bio_06,GLM,RUN5,0
CHELSA_bio_08,GLM,RUN5,0.008
CHELSA_bio_09,GLM,RUN5,0.833
CHELSA_bio_13,GLM,RUN5,0.625
CHELSA_bio_14,GLM,RUN5,0.205
CHELSA_bio_15,GLM,RUN5,0.227
CHELSA_bio_03,GBM,RUN5,0.255
CHELSA_bio_05,GBM,RUN5,0.029
CHELSA_bio_06,GBM,RUN5,0.034
CHELSA_bio_08,GBM,RUN5,0.05
CHELSA_bio_09,GBM,RUN5,0.562
CHELSA_bio_13,GBM,RUN5,0.011
CHELSA_bio_14,GBM,RUN5,0.005
CHELSA_bio_15,GBM,RUN5,0.012
CHELSA_bio_03,GAM,RUN5,0.309
CHELSA_bio_05,GAM,RUN5,0.339
CHELSA_bio_06,GAM,RUN5,0.614
CHELSA_bio_08,GAM,RUN5,0.062
CHELSA_bio_09,GAM,RUN5,0.399
CHELSA_bio_13,GAM,RUN5,0.47
CHELSA_bio_14,GAM,RUN5,0.253
CHELSA_bio_15,GAM,RUN5,0.249
CHELSA_bio_03,RF,RUN5,0.145
CHELSA_bio_05,RF,RUN5,0.067
CHELSA_bio_06,RF,RUN5,0.094
CHELSA_bio_08,RF,RUN5,0.056
CHELSA_bio_09,RF,RUN5,0.271
CHELSA_bio_13,RF,RUN5,0.027
CHELSA_bio_14,RF,RUN5,0.012
CHELSA_bio_15,RF,RUN5,0.037
CHELSA_bio_03,ANN,RUN5,0.203
CHELSA_bio_05,ANN,RUN5,0.383
CHELSA_bio_06,ANN,RUN5,0.452
CHELSA_bio_08,ANN,RUN5,0.08
CHELSA_bio_09,ANN,RUN5,0.502
CHELSA_bio_13,ANN,RUN5,0.627
CHELSA_bio_14,ANN,RUN5,0.285
CHELSA_bio_15,ANN,RUN5,0.332
CHELSA_bio_03,MAXENT.Phillips,RUN5,0.375
CHELSA_bio_05,MAXENT.Phillips,RUN5,0.252
CHELSA_bio_06,MAXENT.Phillips,RUN5,0.217
CHELSA_bio_08,MAXENT.Phillips,RUN5,0.101
CHELSA_bio_09,MAXENT.Phillips,RUN5,0.502
CHELSA_bio_13,MAXENT.Phillips,RUN5,0.147
CHELSA_bio_14,MAXENT.Phillips,RUN5,0.195
CHELSA_bio_15,MAXENT.Phillips,RUN5,0.145
CHELSA_bio_03,CTA,RUN5,0.377
CHELSA_bio_05,CTA,RUN5,0.042
CHELSA_bio_06,CTA,RUN5,0.178
CHELSA_bio_08,CTA,RUN5,0.37
CHELSA_bio_09,CTA,RUN5,0.817
CHELSA_bio_13,CTA,RUN5,0
CHELSA_bio_14,CTA,RUN5,0.028
CHELSA_bio_15,CTA,RUN5,0
CHELSA_bio_03,MARS,RUN5,0.189
CHELSA_bio_05,MARS,RUN5,0.044
CHELSA_bio_06,MARS,RUN5,0
CHELSA_bio_08,MARS,RUN5,0.065
CHELSA_bio_09,MARS,RUN5,0.561
CHELSA_bio_13,MARS,RUN5,0.477
CHELSA_bio_14,MARS,RUN5,0.207
CHELSA_bio_15,MARS,RUN5,0.212
